domain,vhost_type,parent_domain,hosting_username,is_enabled,is_wordpress,wp_site_title,wp_url,root_directory,created_at
ads.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/ads,2024-09-03T00:52:14Z
ads.schoolcrmpro.com,subdomain,schoolcrmpro.com,u229151323,true,no,,,/home/u229151323/domains/schoolcrmpro.com/public_html/ads,2024-09-03T00:56:15Z
app.ossdcourses.com,addon,,u881944871,true,no,,,/home/u881944871/domains/app.ossdcourses.com/public_html,2022-04-21T20:22:39Z
berkeleyprivateschool.com,addon,,u293494719,true,no,,,/home/u293494719/domains/berkeleyprivateschool.com/public_html,2022-08-29T23:28:58Z
client.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/client,2025-09-25T20:59:48Z
coursely.ca,addon,,u881944871,true,yes,coursely,https://coursely.ca,/home/u881944871/domains/coursely.ca/public_html,2024-03-05T02:11:15Z
crm.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/crm,2024-09-02T16:09:59Z
crmconex.com,main,,u229151323,true,yes,crmconex.com,https://crmconex.com,/home/u229151323/domains/crmconex.com/public_html,2024-09-02T16:29:18Z
email.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/email,2025-01-26T15:43:45Z
globalsoftwarepartners.com,addon,,u881944871,true,yes,Global Software Partners,http://globalsoftwarepartners.com,/home/u881944871/domains/globalsoftwarepartners.com/public_html,2025-03-24T16:41:28Z
greativyacademy.ca,main,,u881944871,true,yes,Great ivy Academy,http://greativyacademy.ca,/home/u881944871/domains/greativyacademy.ca/public_html,2022-05-09T02:30:31Z
hopkinsprivateschool.com,addon,,u293494719,true,no,,,/home/u293494719/domains/hopkinsprivateschool.com/public_html,2022-08-29T23:29:58Z
info.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/info,2025-01-26T15:35:02Z
members.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/members,2025-01-26T15:35:12Z
opsginc.com,addon,,u881944871,true,yes,OPSG,http://opsginc.com,/home/u881944871/domains/opsginc.com/public_html,2022-06-08T20:29:20Z
pricing.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/pricing,2025-01-26T12:49:41Z
privateschoolontario.com,addon,,u881944871,true,yes,Private Online School Ontario,http://privateschoolontario.com,/home/u881944871/domains/privateschoolontario.com/public_html,2022-06-07T21:23:20Z
riversdale.crmconex.com,subdomain,crmconex.com,u229151323,true,no,,,/home/u229151323/domains/crmconex.com/public_html/riversdale,2024-09-02T16:30:29Z
riversdaleacademy.com,addon,,u881944871,true,yes,Welcome,https://riversdaleacademy.com/river-new,/home/u881944871/domains/riversdaleacademy.com/public_html,2022-04-16T18:41:51Z
royalscitsacademy.ca,main,,u293494719,true,yes,Welcome,http://royalscitsacademy.ca,/home/u293494719/domains/royalscitsacademy.ca/public_html,2023-04-02T13:27:30Z
schoolcrmpro.com,addon,,u229151323,true,yes,schoolcrmpro.com,https://schoolcrmpro.com,/home/u229151323/domains/schoolcrmpro.com/public_html,2024-09-03T00:55:06Z
scitsonline.com,addon,,u293494719,true,yes,Welcome,http://scitsonline.com,/home/u293494719/domains/scitsonline.com/public_html,2023-04-06T11:27:04Z
sis.schoolconex.com,subdomain,schoolconex.com,u881944871,true,no,,,/home/u881944871/domains/schoolconex.com/public_html/sis,2025-09-04T16:36:15Z
smartschoolbots.com,addon,,u881944871,true,yes,Smart School Bots,https://smartschoolbots.com,/home/u881944871/domains/smartschoolbots.com/public_html,2025-03-12T02:41:30Z
testconex.com,addon,,u293494719,true,yes,Doon School,http://testconex.com,/home/u293494719/domains/testconex.com/public_html,2023-07-17T13:34:22Z
